Iteration 255 	 Th1: 46 Th2: 802
Iteration 256 	 Th1: 46 Th2: 803
Iteration 257 	 Th1: 48 Th2: 804
Iteration 258 	 Th1: 48 Th2: 810
Iteration 259 	 Th1: 48 Th2: 821
Iteration 260 	 Th1: 50 Th2: 822
Iteration 261 	 Th1: 50 Th2: 823
Iteration 262 	 Th1: 52 Th2: 824
Iteration 263 	 Th1: 53 Th2: 825
Iteration 264 	 Th1: 53 Th2: 826
Iteration 265 	 Th1: 55 Th2: 827
Iteration 266 	 Th1: 55 Th2: 828
Iteration 267 	 Th1: 57 Th2: 829
Iteration 268 	 Th1: 58 Th2: 830
Iteration 269 	 Th1: 58 Th2: 831
Iteration 270 	 Th1: 60 Th2: 832
Iteration 271 	 Th1: 60 Th2: 833
Iteration 272 	 Th1: 62 Th2: 835
Iteration 273 	 Th1: 63 Th2: 836
Iteration 274 	 Th1: 63 Th2: 837
Iteration 275 	 Th1: 65 Th2: 838
Iteration 276 	 Th1: 65 Th2: 839
Iteration 277 	 Th1: 67 Th2: 840
Iteration 278 	 Th1: 68 Th2: 846
Iteration 279 	 Th1: 68 Th2: 847
Iteration 280 	 Th1: 70 Th2: 848
Iteration 281 	 Th1: 70 Th2: 849
Iteration 282 	 Th1: 72 Th2: 850
Iteration 283 	 Th1: 72 Th2: 851
Iteration 284 	 Th1: 73 Th2: 852
Iteration 285 	 Th1: 75 Th2: 853
Iteration 286 	 Th1: 75 Th2: 854
Iteration 287 	 Th1: 77 Th2: 855
Iteration 288 	 Th1: 78 Th2: 856
Iteration 289 	 Th1: 78 Th2: 857
Iteration 290 	 Th1: 80 Th2: 858
Iteration 291 	 Th1: 80 Th2: 859
Iteration 292 	 Th1: 82 Th2: 860
Iteration 293 	 Th1: 82 Th2: 861
Iteration 294 	 Th1: 82 Th2: 862
Iteration 295 	 Th1: 84 Th2: 863
Iteration 296 	 Th1: 84 Th2: 864
Iteration 297 	 Th1: 86 Th2: 865
Iteration 298 	 Th1: 86 Th2: 866
Iteration 299 	 Th1: 87 Th2: 867
Iteration 300 	 Th1: 89 Th2: 868
Iteration 301 	 Th1: 89 Th2: 869
Iteration 302 	 Th1: 91 Th2: 871
Iteration 303 	 Th1: 91 Th2: 872
Iteration 304 	 Th1: 91 Th2: 873
Iteration 305 	 Th1: 91 Th2: 878
Iteration 306 	 Th1: 91 Th2: 883
Iteration 307 	 Th1: 91 Th2: 883
Iteration 308 	 Th1: 91 Th2: 883
Iteration 309 	 Th1: 91 Th2: 883
Iteration 310 	 Th1: 92 Th2: 883
Iteration 311 	 Th1: 92 Th2: 883
Iteration 312 	 Th1: 93 Th2: 883
Iteration 313 	 Th1: 93 Th2: 883
Iteration 314 	 Th1: 93 Th2: 883
Iteration 315 	 Th1: 95 Th2: 883
Iteration 316 	 Th1: 95 Th2: 883
Iteration 317 	 Th1: 97 Th2: 883
Iteration 318 	 Th1: 98 Th2: 883
Iteration 319 	 Th1: 98 Th2: 883
Iteration 320 	 Th1: 100 Th2: 883
Iteration 321 	 Th1: 100 Th2: 883
Iteration 322 	 Th1: 100 Th2: 883
Iteration 323 	 Th1: 100 Th2: 883
Iteration 324 	 Th1: 100 Th2: 883
Iteration 325 	 Th1: 101 Th2: 883
Iteration 326 	 Th1: 101 Th2: 883
Iteration 327 	 Th1: 101 Th2: 883
Iteration 328 	 Th1: 101 Th2: 883
Iteration 329 	 Th1: 101 Th2: 883
Iteration 330 	 Th1: 101 Th2: 883
Iteration 331 	 Th1: 101 Th2: 883
Iteration 332 	 Th1: 101 Th2: 883
Iteration 333 	 Th1: 101 Th2: 883
Iteration 334 	 Th1: 101 Th2: 883
Iteration 335 	 Th1: 102 Th2: 883
Iteration 336 	 Th1: 102 Th2: 883
Iteration 337 	 Th1: 102 Th2: 883
Iteration 338 	 Th1: 102 Th2: 883
Iteration 339 	 Th1: 102 Th2: 883
Iteration 340 	 Th1: 102 Th2: 883
Iteration 341 	 Th1: 102 Th2: 883
